Property_ID,City,Locality,Property_Type,BHK,Size_sqft,Year_Built,Property_Age,Furnishing_Status,Parking,Metro_Distance_km,School_Distance_km,Hospital_Distance_km,Location_Rating,Amenities_Score,Price
1,Bengaluru,Whitefield,Apartment,1,660,2015,11,Unfurnished,2,7.1,5.5,1.4,6,4,12043237
2,Hyderabad,Gachibowli,Apartment,3,1395,2024,2,Furnished,0,11.4,3.9,3.6,4,5,17531182
3,Chandigarh,Sector 22,Apartment,2,1184,2025,1,Unfurnished,2,5.1,3.3,3.5,9,6,21964712
4,Delhi,Dwarka,Villa,3,1635,2001,25,Furnished,0,6.9,3.8,3.1,8,4,32837271
5,Bengaluru,Indiranagar,Villa,3,1578,2005,21,Unfurnished,1,1.2,1.9,3.1,10,6,35081030
6,Hyderabad,Madhapur,Villa,1,581,2011,15,Unfurnished,2,2.0,3.0,0.4,10,1,16463523
7,Chandigarh,Sector 35,Independent House,4,2148,2020,6,Semi-Furnished,3,7.0,2.8,5.1,7,4,32669908
8,Pune,Kothrud,Apartment,3,1587,2018,8,Furnished,3,3.6,2.4,4.1,8,4,25453845
9,Bengaluru,Whitefield,Villa,3,1515,2022,4,Semi-Furnished,1,8.9,2.5,5.5,6,1,28119385
10,Delhi,Saket,Apartment,2,970,2024,2,Semi-Furnished,2,8.5,5.9,4.2,6,2,15308492
11,Delhi,Dwarka,Apartment,2,1018,1998,28,Semi-Furnished,1,3.3,0.2,2.6,9,5,19306485
12,Chandigarh,Sector 22,Penthouse,3,1743,2017,9,Furnished,0,5.6,5.3,5.7,9,5,34560771
13,Hyderabad,Madhapur,Apartment,2,1224,2010,16,Unfurnished,1,1.0,1.4,1.1,10,5,19908025
14,Mumbai,Bandra,Apartment,2,950,2009,17,Furnished,0,1.0,1.4,2.4,10,3,20673835
15,Bengaluru,Electronic City,Apartment,2,1334,2013,13,Semi-Furnished,3,5.9,0.7,0.8,8,6,22914871
16,Bengaluru,Indiranagar,Builder Floor,2,910,2004,22,Furnished,2,1.9,3.4,0.4,10,3,18742109
17,Pune,Baner,Independent House,2,1086,2003,23,Semi-Furnished,1,6.5,4.7,2.1,6,5,15749520
18,Delhi,Dwarka,Builder Floor,3,1524,2004,22,Furnished,3,4.4,0.4,0.4,8,4,26388214
19,Bengaluru,Whitefield,Independent House,5,2820,2023,3,Furnished,2,11.5,2.3,1.5,4,4,42450476
20,Delhi,Saket,Apartment,3,2040,2017,9,Unfurnished,3,10.9,2.2,3.9,6,1,29222790
21,Hyderabad,Kondapur,Independent House,3,1485,2011,15,Furnished,2,1.2,5.7,4.4,10,4,26670723
22,Pune,Baner,Independent House,2,964,1998,28,Unfurnished,3,9.7,1.0,5.0,6,6,15589399
23,Bengaluru,Whitefield,Apartment,2,906,2023,3,Furnished,0,6.4,5.6,2.7,6,2,14225390
24,Mumbai,Andheri,Apartment,3,1935,2016,10,Semi-Furnished,2,6.6,5.0,0.6,8,3,32613549
25,Hyderabad,Kondapur,Villa,4,2228,2024,2,Furnished,1,6.5,3.2,0.3,7,2,40766125
26,Chandigarh,Sector 17,Independent House,2,972,2013,13,Furnished,0,6.8,2.1,3.2,8,4,16539572
27,Mumbai,Powai,Apartment,2,920,2022,4,Unfurnished,3,6.8,4.6,5.5,7,3,17531118
28,Chandigarh,Sector 35,Villa,2,1040,2012,14,Furnished,3,6.2,1.6,3.2,7,5,19606170
29,Delhi,Saket,Apartment,2,1126,2008,18,Unfurnished,1,5.3,1.4,2.0,7,2,17610032
30,Pune,Kothrud,Independent House,2,1352,2002,24,Semi-Furnished,1,9.0,0.7,5.3,5,6,18277237
31,Delhi,Dwarka,Independent House,5,2765,2008,18,Semi-Furnished,1,4.4,0.7,2.3,8,5,44273405
32,Hyderabad,Madhapur,Independent House,2,1164,2017,9,Semi-Furnished,0,1.5,5.5,1.5,9,1,20602021
33,Bengaluru,Indiranagar,Apartment,4,2076,2022,4,Unfurnished,3,10.2,4.1,5.7,5,2,27733237
34,Chandigarh,Sector 35,Villa,3,1416,2006,20,Unfurnished,1,5.2,0.6,5.6,9,1,25218879
35,Bengaluru,Whitefield,Villa,2,1034,2025,1,Unfurnished,3,0.3,6.0,2.6,10,5,29298561
36,Delhi,Dwarka,Apartment,2,956,2003,23,Semi-Furnished,0,2.3,5.6,3.8,10,2,18523389
37,Bengaluru,Indiranagar,Apartment,2,1076,2023,3,Unfurnished,2,0.6,0.3,3.1,9,5,22882458
38,Hyderabad,Gachibowli,Builder Floor,2,1318,2018,8,Semi-Furnished,3,6.6,5.4,5.8,7,6,21288988
39,Delhi,Dwarka,Apartment,4,2520,2021,5,Furnished,1,5.0,2.2,0.5,7,1,37899579
40,Mumbai,Powai,Independent House,2,982,1999,27,Unfurnished,3,10.5,4.1,1.8,4,6,17528962
41,Bengaluru,Whitefield,Apartment,2,1128,1998,28,Semi-Furnished,2,11.5,5.8,3.4,4,1,10811083
42,Bengaluru,Whitefield,Apartment,1,547,2000,26,Semi-Furnished,2,6.1,1.4,3.1,6,1,9189242
43,Bengaluru,Whitefield,Apartment,3,1650,1998,28,Semi-Furnished,2,7.6,0.7,5.8,6,6,25374909
44,Pune,Kothrud,Apartment,2,1152,2002,24,Semi-Furnished,1,0.7,5.0,5.4,10,4,20129817
45,Pune,Kothrud,Builder Floor,2,1168,2022,4,Furnished,0,10.0,3.6,5.4,6,6,17202091
46,Pune,Baner,Apartment,1,613,2009,17,Unfurnished,3,10.1,3.4,3.8,6,5,9657989
47,Pune,Baner,Apartment,1,654,2000,26,Furnished,0,8.0,0.6,4.5,6,1,7430913
48,Bengaluru,Whitefield,Independent House,2,1278,2018,8,Semi-Furnished,3,10.2,0.6,5.5,5,1,21710746
49,Chandigarh,Sector 35,Villa,1,487,2008,18,Semi-Furnished,2,7.5,1.0,3.0,7,3,12266235
50,Pune,Baner,Independent House,3,1572,2020,6,Furnished,2,5.7,2.9,0.9,9,2,27496697
51,Bengaluru,Whitefield,Builder Floor,1,567,2000,26,Furnished,3,11.9,2.4,5.5,4,1,5470822
52,Chandigarh,Sector 17,Apartment,3,2079,2009,17,Unfurnished,2,10.7,4.3,1.5,5,4,20544428
53,Mumbai,Bandra,Apartment,3,1695,2010,16,Semi-Furnished,1,5.1,2.4,0.9,8,1,27793059
54,Bengaluru,Indiranagar,Builder Floor,2,1374,2004,22,Furnished,0,10.8,1.9,2.4,5,4,18400953
55,Chandigarh,Sector 17,Apartment,3,1560,2025,1,Unfurnished,2,1.4,5.0,1.9,9,2,22573721
56,Bengaluru,Indiranagar,Apartment,2,1090,2023,3,Semi-Furnished,0,9.8,3.9,5.5,7,5,18994997
57,Delhi,Rohini,Apartment,4,2220,2012,14,Furnished,1,7.8,1.9,0.5,8,2,33464117
58,Delhi,Saket,Apartment,2,1030,2021,5,Furnished,2,5.0,1.6,3.0,9,4,22349139
59,Mumbai,Bandra,Villa,1,578,2026,0,Semi-Furnished,1,5.5,2.1,4.6,8,2,16730062
60,Chandigarh,Sector 17,Apartment,2,1184,2000,26,Semi-Furnished,1,4.5,4.9,1.4,7,6,16102227
61,Hyderabad,Madhapur,Apartment,3,1638,2006,20,Semi-Furnished,0,6.1,3.5,2.3,8,5,22790673
62,Chandigarh,Sector 35,Independent House,4,1892,2006,20,Unfurnished,3,4.9,2.8,5.7,7,2,24044365
63,Mumbai,Andheri,Independent House,4,2284,2016,10,Semi-Furnished,0,1.1,5.6,5.6,10,4,47433333
64,Hyderabad,Gachibowli,Independent House,2,976,2014,12,Furnished,0,11.3,4.4,4.0,5,1,11587067
65,Chandigarh,Sector 17,Apartment,2,1190,1999,27,Furnished,2,11.6,3.8,3.3,5,6,13147253
66,Mumbai,Bandra,Apartment,3,1797,2004,22,Semi-Furnished,2,2.8,3.7,0.3,9,4,31101188
67,Bengaluru,Indiranagar,Villa,4,2284,2014,12,Unfurnished,1,0.5,2.6,4.0,9,1,49169784
68,Delhi,Saket,Builder Floor,3,1410,2006,20,Unfurnished,3,11.1,1.5,0.4,5,6,23628956
69,Hyderabad,Madhapur,Independent House,2,1308,2007,19,Furnished,0,2.6,5.8,2.0,8,2,20648508
70,Hyderabad,Gachibowli,Apartment,4,1908,2017,9,Semi-Furnished,1,10.8,3.0,5.5,4,5,20733445
71,Delhi,Saket,Apartment,1,602,2002,24,Semi-Furnished,0,8.6,1.3,2.8,7,3,10294210
72,Pune,Baner,Penthouse,4,2136,2004,22,Unfurnished,3,0.6,4.1,2.4,10,3,45282587
73,Hyderabad,Gachibowli,Apartment,1,470,2009,17,Semi-Furnished,0,6.8,4.6,2.4,7,4,9736911
74,Mumbai,Bandra,Independent House,2,1176,2012,14,Unfurnished,2,4.5,5.4,0.4,8,2,22557519
75,Pune,Wakad,Apartment,1,466,2023,3,Unfurnished,2,2.5,0.6,3.7,9,3,15110652
76,Bengaluru,Electronic City,Apartment,3,1878,2008,18,Semi-Furnished,2,0.2,4.6,5.5,10,1,27862819
77,Mumbai,Bandra,Apartment,3,1707,2022,4,Semi-Furnished,2,11.0,4.9,1.0,5,2,24825812
78,Mumbai,Powai,Apartment,3,1464,2017,9,Unfurnished,2,10.4,2.9,4.7,6,1,23240627
79,Chandigarh,Sector 17,Apartment,2,1108,2000,26,Furnished,0,5.9,3.4,1.1,8,1,13591655
80,Mumbai,Andheri,Villa,2,1114,2013,13,Furnished,3,2.2,1.0,2.9,10,2,32702041
81,Pune,Kothrud,Builder Floor,3,1443,2022,4,Semi-Furnished,2,3.5,1.8,1.7,9,2,24671733
82,Hyderabad,Gachibowli,Apartment,2,1044,2026,0,Furnished,1,4.1,2.5,6.0,9,5,19769442
83,Delhi,Rohini,Builder Floor,3,1377,2001,25,Unfurnished,3,10.6,1.5,2.8,5,1,18210418
84,Bengaluru,Whitefield,Apartment,2,1398,2024,2,Furnished,1,11.2,2.4,5.2,5,5,19030249
85,Bengaluru,Electronic City,Builder Floor,2,1204,2020,6,Furnished,2,2.8,2.3,1.0,8,3,21332548
86,Mumbai,Powai,Independent House,4,2632,1998,28,Semi-Furnished,3,8.2,1.3,2.0,5,1,41901005
87,Hyderabad,Kondapur,Apartment,3,1959,2010,16,Furnished,1,7.7,0.7,1.1,8,3,26655234
88,Hyderabad,Madhapur,Independent House,3,1389,2007,19,Furnished,2,5.1,0.3,4.6,8,6,25910109
89,Delhi,Saket,Independent House,2,902,2011,15,Unfurnished,3,1.5,0.7,3.6,10,4,21823916
90,Delhi,Dwarka,Apartment,3,1842,2023,3,Semi-Furnished,0,7.0,5.6,4.5,6,2,28762468
91,Bengaluru,Indiranagar,Apartment,2,934,2001,25,Semi-Furnished,3,9.1,4.8,4.9,6,2,12864648
92,Mumbai,Andheri,Apartment,3,1836,2010,16,Unfurnished,1,7.8,5.2,3.8,8,2,30449473
93,Hyderabad,Gachibowli,Villa,1,690,2014,12,Unfurnished,3,4.4,1.1,5.8,7,1,14499037
94,Chandigarh,Sector 35,Apartment,4,1920,2010,16,Furnished,3,6.7,3.8,2.0,7,3,23214706
95,Chandigarh,Sector 17,Apartment,3,1692,2014,12,Semi-Furnished,1,0.5,3.8,3.0,9,4,25597349
96,Chandigarh,Sector 22,Builder Floor,4,2208,2001,25,Unfurnished,1,4.4,2.3,4.9,9,5,30534852
97,Pune,Baner,Apartment,2,1372,2021,5,Semi-Furnished,0,0.8,3.1,2.4,9,1,21615626
98,Mumbai,Powai,Independent House,4,1996,2002,24,Semi-Furnished,2,11.5,5.5,1.2,6,2,30955510
99,Mumbai,Andheri,Villa,2,1064,2026,0,Furnished,2,10.9,2.8,1.7,5,2,21672192
100,Chandigarh,Sector 22,Villa,2,1090,1999,27,Unfurnished,1,5.0,3.9,1.8,8,4,18048221
101,Delhi,Saket,Apartment,3,1836,2025,1,Semi-Furnished,3,6.8,3.6,5.3,6,3,29231700
102,Chandigarh,Sector 35,Builder Floor,3,1635,2006,20,Semi-Furnished,2,7.0,2.3,4.6,7,2,21538817
103,Delhi,Rohini,Independent House,1,659,2014,12,Semi-Furnished,2,7.7,5.9,3.6,8,3,14396569
104,Pune,Baner,Independent House,2,1048,2017,9,Furnished,3,5.1,2.3,0.5,8,2,17929011
105,Chandigarh,Sector 35,Apartment,1,595,2009,17,Semi-Furnished,0,6.4,3.3,2.6,7,5,11158989
106,Delhi,Dwarka,Apartment,4,1960,2002,24,Unfurnished,1,8.5,2.8,0.6,5,6,25847096
107,Bengaluru,Indiranagar,Builder Floor,5,2320,2018,8,Furnished,2,7.2,3.6,3.7,8,6,36200414
108,Hyderabad,Gachibowli,Apartment,1,465,2015,11,Unfurnished,3,2.4,1.1,5.5,8,1,11660412
109,Chandigarh,Sector 35,Independent House,2,1110,2004,22,Furnished,3,9.8,1.2,2.0,6,6,14638375
110,Mumbai,Powai,Independent House,3,1353,2010,16,Semi-Furnished,3,1.1,4.0,1.2,9,3,30008525
111,Delhi,Rohini,Apartment,2,1282,2020,6,Semi-Furnished,0,3.3,3.4,2.7,10,3,23882154
112,Bengaluru,Electronic City,Builder Floor,4,1884,2026,0,Furnished,0,2.2,5.4,5.1,8,2,31063367
113,Pune,Wakad,Apartment,2,1206,2005,21,Semi-Furnished,3,5.8,3.3,0.2,7,4,17651932
114,Pune,Baner,Villa,2,1008,2010,16,Furnished,0,6.9,1.2,0.4,6,1,16959069
115,Chandigarh,Sector 17,Apartment,2,914,1998,28,Unfurnished,1,8.4,3.9,4.2,7,1,10450246
116,Mumbai,Powai,Independent House,2,1388,2024,2,Furnished,0,10.6,4.6,4.3,5,1,21150236
117,Delhi,Dwarka,Apartment,1,693,2025,1,Furnished,0,9.9,3.9,1.9,5,2,11488340
118,Mumbai,Powai,Apartment,2,1116,2006,20,Unfurnished,2,3.2,1.8,4.4,9,3,22331744
119,Chandigarh,Sector 35,Apartment,2,1280,1998,28,Semi-Furnished,0,5.4,4.7,2.2,9,1,16580147
120,Chandigarh,Sector 35,Apartment,4,1892,2016,10,Semi-Furnished,1,5.3,3.2,1.9,7,1,25113804
121,Bengaluru,Indiranagar,Apartment,3,1983,2003,23,Semi-Furnished,2,11.5,3.2,3.6,4,3,24468446
